NAME,DATE
"UFC 228 - Woodley vs. Till","Sep / 08 / 2018"
"UFC 220 - Miocic vs. Ngannou","Jan / 20 / 2018"
"UFC 218 - Holloway vs. Aldo 2","Dec / 02 / 2017"
"UFC Fight Night 109 - Gustafsson vs. Teixeira","May / 28 / 2017"
"UFC Fight Night 99 - Mousasi vs. Hall 2","Nov / 19 / 2016"
"LFC 61 - Legacy Fighting Championship 61","Oct / 14 / 2016"
"Rage in the Cage OKC 47 - Night of Champions","Aug / 13 / 2016"
"Bellator 143 - Warren vs. Davis","Sep / 25 / 2015"
"RXMMA - Rocks Xtreme MMA 12","Feb / 28 / 2015"
"Bellator MMA - Bellator 111","Mar / 07 / 2014"
"XKO - Xtreme Knockout 20","Nov / 23 / 2013"
"UFC Fight Night 115 - Volkov vs. Struve","Sep / 02 / 2017"
"WFCA 3 - Grozny Battle","Jun / 13 / 2015"
"WFCA 1 - Grozny Battle","Mar / 14 / 2015"
"Fight Nights - Battle of Moscow 18","Dec / 20 / 2014"
"ACB 10 - Coliseum Time","Oct / 04 / 2014"
"Absolute Championship Berkut - Grand Prix Berkut 9","Jun / 22 / 2014"
"Fight Nights - Battle of Moscow 15","Mar / 28 / 2014"
"Fight Nights - Krepost Selection 3","Feb / 15 / 2014"
"Fight Nights - Battle on Terek","Oct / 04 / 2013"
"CWFC 58 - Cage Warriors Fighting Championship 58","Aug / 24 / 2013"
"Fight Nights - Battle of Moscow 12","Jun / 20 / 2013"
"Fight Nights - Battle of Moscow 11","Apr / 20 / 2013"
"Fight Nights - Battle of Moscow 9","Dec / 16 / 2012"
"DFC - Dictator Fighting Championship 1","Jun / 28 / 2012"
"League S-70 - Russian Championship Third Round","Apr / 06 / 2012"
"ProFC - ProFC 22","Dec / 17 / 2010"
"ProFC - Russia Cup Stage 1","Nov / 13 / 2010"
"GFP - Golden Fist Russia","Jun / 10 / 2010"
"M-1 Selection 2010 - Eastern Europe Round 2","Apr / 10 / 2010"
"PAC - Pancration Atrium Cup 2","Mar / 10 / 2010"
"UFC Fight Night 134 - Shogun vs. Smith","Jul / 22 / 2018"
"WSOF 33 - Branch vs. Magalhaes","Oct / 07 / 2016"
"WSOF 30 - Branch vs. Starks","Apr / 02 / 2016"
"ACB 27 - Dushanbe","Dec / 20 / 2015"
"GMC 6 - German MMA Championship 6","Apr / 18 / 2015"
"KSW 27 - Cage Time","May / 17 / 2014"
"CWFC - Fight Night 10","Mar / 28 / 2014"
"KSW 25 - Khalidov vs. Sakurai","Dec / 07 / 2013"
"GMC 4 - Next Level","Jul / 06 / 2013"
"KK 8 - Kombat Komplett","Feb / 02 / 2013"
"RFC - Respect Fighting Championship 8","Sep / 22 / 2012"
"RFC - Respect Fighting Championship 7","Apr / 21 / 2012"
"SFC 8 - Tournament 2012 Part I","Feb / 04 / 2012"
"SFC 7 - M-1 Fighter Europe","Nov / 26 / 2011"
"SFC 6 - Germany vs. Georgia","Sep / 17 / 2011"
"TFS - Mix Fight Gala Open Air","Jul / 23 / 2011"
"K1M - K1 Maximum","Jun / 27 / 2009"
"UFC on Fox 31 - Iaquinta vs. Lee 2","Dec / 15 / 2018"
"UFC 222 - Cyborg vs. Kunitskaya","Mar / 03 / 2018"
"UFC Fight Night 104 - Bermudez vs. Korean Zombie","Feb / 04 / 2017"
"UFC Fight Night 88 - Almeida vs. Garbrandt","May / 29 / 2016"
"KOTC - Hands of Steel","Sep / 26 / 2015"
"GOTC MMA - Gladiators of the Cage 18","Aug / 22 / 2015"
"Pinnacle FC - Pittsburgh Challenge Series 8","Jul / 12 / 2014"
"Gladiators of the Cage - The North Shore's Rise to Power","Jan / 26 / 2013"
"Pinnacle FC - Pittsburgh Challenge Series 1","Dec / 29 / 2012"
"NAAFS - Midwest Combat Challenge 22","Sep / 21 / 2012"
"NAAFS - Caged Fury 17","Apr / 27 / 2012"
"NAAFS - Spohn vs. Hawk 2","May / 21 / 2011"
"Ohio Xtreme Fighting 15 - Cross Roads","Dec / 12 / 2009"
"UFC 230 - Cormier vs. Lewis","Nov / 03 / 2018"
"UFC on Fox 29 - Poirier vs. Gaethje","Apr / 14 / 2018"
"UFC Fight Night 121 - Werdum vs. Tybura","Nov / 18 / 2017"
"Spartan Fight 5 - Browarski vs. Conti","Oct / 08 / 2016"
"PLMMA 67 - Nastula Cup 1","May / 21 / 2016"
"PLMMA 61 / AFC 5 - Bytom","Dec / 05 / 2015"
"PLMMA 56 - Bielsko-Biala","Jun / 19 / 2015"
