NAME,GYM,DOB,HEIGHT,WEIGHT
"ABDUL RAZAK ALHASSAN","","1985-08-11","5'10'","170 LBS"
"ABDUL-KERIM EDILOV","Akhmat Fight Team","1991-11-25","6'3'","205 LBS"
"ABU AZAITAR","Team Azaitar","1986-03-10","5'9'","185 LBS"
"ADAM MILSTEAD","Pittsburgh Fight Club","1987-07-03","6'3'","205 LBS"
"ADAM WIECZOREK","AKS Chorzow","1992-02-05","6'5'","232 LBS"
"ADAM YANDIEV","Fight or Die","1988-07-07","5'11'","185 LBS"
"ADLAN AMAGOV","Jackson-Wink MMA","1986-10-30","5'11'","170 LBS"
"AIEMANN ZAHABI","Tristar Gym","1987-11-19","5'8'","135 LBS"
"AISLING DALY","SBG Ireland","1987-12-24","5'3'","116 LBS"
"AL IAQUINTA","Serra-Longo Fight Team","1987-04-30","5'7'","155 LBS"
"ALAN BELCHER","Roufusport / Remix MMA","1984-04-24","6'2'","185 LBS"
"ALAN JOUBAN","Black House / 10th Planet Jiu-Jitsu","1982-11-25","6'0'","171 LBS"
"ALAN PATRICK","X-Gym","1983-07-19","5'11'","155 LBS"
"ALBERTO MINA","Kings MMA / Epic MMA","1982-05-02","6'0'","170 LBS"
"ALEJANDRO PEREZ","American Kickboxing Academy","1989-09-02","5'6'","135 LBS"
"ALEKSANDAR RAKIC","Gym 23 / American Top Team","1992-02-06","6'5'","205 LBS"
"ALEN AMEDOVSKI","American Top Team Rome","1988-04-06","5'10'","185 LBS"
"ALESSIO DI CHIRICO","Gloria Fight Center","1989-12-12","6'0'","185 LBS"
"ALEX CACERES","MMA Lab","1988-06-20","5'9'","145 LBS"
"ALEX CHAMBERS","American Top Team","1978-10-28","5'3'","115 LBS"
"ALEX DA SILVA","","","",""
"ALEX GARCIA","Tristar Gym","1987-07-14","5'9'","171 LBS"
"ALEX MORONO","Gracie Barra Woodlands","1990-08-16","5'11'","170 LBS"
"ALEX OLIVEIRA","ATS Team Tres Rios","1988-02-21","5'11'","170 LBS"
"ALEX PEREZ","Team Oyama","1992-03-21","5'6'","125 LBS"
"ALEX REYES","Cage Combat Academy / Pinnacle MMA","1986-10-02","5'11'","155 LBS"
"ALEX WHITE","Team Destruction","1988-10-22","6'0'","155 LBS"
"ALEXA GRASSO","Lobo Gym MMA","1993-08-09","5'5'","115 LBS"
"ALEXANDER GUSTAFSSON","Allstars Training Center / Alliance MMA","1987-01-15","6'4'","205 LBS"
"ALEXANDER HERNANDEZ","Ohana Academy","1992-10-01","5'9'","155 LBS"
"ALEXANDER VOLKANOVSKI","Freestyle Fighting Gym","1988-09-29","5'6'","145 LBS"
"ALEXANDER VOLKOV","Strela Team","1988-10-24","6'7'","240 LBS"
"ALEXANDER YAKOVLEV","K Dojo Warrior Tribe","1984-07-18","6'1'","170 LBS"
"ALEXANDRA ALBU","Red Fury Fight Team / MMA-KEGI","1990-07-14","5'2'","115 LBS"
"ALEXANDRE PANTOJA","Nova Uniao / Black House","1990-04-16","5'5'","125 LBS"
"ALEXIS DAVIS","Combat Sports Academy","1984-10-04","5'6'","125 LBS"
"ALISTAIR OVEREEM","Elevation Fight Team","1980-05-17","6'4'","234 LBS"
"ALJAMAIN STERLING","Serra-Longo Fight Team","1989-07-31","5'7'","135 LBS"
"ALLEN CROWDER","Team Rubao Carioca BJJ","1989-11-08","6'3'","237 LBS"
"ALONZO MENIFIELD","Saekson Muay Thai","1987-10-18","6'0'","205 LBS"
"AMANDA COOPER","Scorpion Fighting System","1991-10-22","5'3'","115 LBS"
"AMANDA LEMOS","Marajo Brothers Team","1987-05-22","5'4'","135 LBS"
"AMANDA NUNES","American Top Team","1988-05-30","5'8'","135 LBS"
"AMANDA RIBAS","Marcelo Ribas Team","1993-08-26","5'4'","115 LBS"
"ANDERSON DOS SANTOS","Babuino Gold Team","1985-07-24","5'6'","135 LBS"
"ANDERSON SILVA","Team Nogueira / X-Gym / Killer Bees","1975-04-14","6'2'","185 LBS"
"ANDRE EWELL","Apex MMA","1988-01-21","5'11'","135 LBS"
"ANDRE FILI","Team Alpha Male","1990-06-25","5'10'","145 LBS"
"ANDRE SOUKHAMTHATH","Combat Club","1988-10-23","5'9'","135 LBS"
"ANDREA LEE","Karate Mafia","1989-02-11","5'6'","125 LBS"
"ANDREI ARLOVSKI","","1979-02-04","6'4'","248 LBS"
"ANDREW SANCHEZ","Tristar Gym","1988-04-08","6'1'","185 LBS"
"ANGELA HILL","Alliance MMA","1985-01-12","5'3'","115 LBS"
"ANNA ELMOSE","Rumble Sports","","","135 LBS"
"ANTHONY HERNANDEZ","MMA Gold Fight Team","1993-10-18","6'0'","185 LBS"
"ANTHONY JOHNSON","Blackzilians / Jaco Hybrid Training Center","1984-03-06","6'2'","205 LBS"
"ANTHONY PETTIS","Roufusport","1987-01-27","5'10'","155 LBS"
"ANTHONY SMITH","Factory X","1988-07-26","6'4'","205 LBS"
"ANTONINA SHEVCHENKO","Tiger Muay Thai","1984-11-20","5'8'","125 LBS"
"ANTONIO BRAGA NETO","Team Nogueira","1987-10-29","6'3'","185 LBS"
"ANTONIO CARLOS","Clube da Luta","","",""
"ANTONIO ROGERIO NOGUEIRA","Team Nogueira","1976-06-02","6'2'","205 LBS"
"ARIANE CARNELOSSI","Inside Muay Thai","1992-11-17","5'2'","115 LBS"
"ARIANE LIPSKI","Rasthai","1994-01-26","5'6'","125 LBS"
"ARJAN SINGH BHULLAR","Ryan's MMA - Checkmat Vancouver","1986-05-13","6'1'","241 LBS"
"ARMAN TSARUKYAN","MFP Team","1996-10-11","5'9'","155 LBS"
"ARNOLD ALLEN","Tristar Gym","1994-01-17","5'9'","145 LBS"
"ARTEM LOBOV","SBG Ireland","1986-08-11","5'9'","146 LBS"
"ASHKAN MOKHTARIAN","Australian Top Team","1985-09-18","5'6'","125 LBS"
