Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"UFC 228 - Woodley vs. Till","WIN","ABDUL RAZAK ALHASSAN","NIKO PRICE","KO (Punch)","Jacob Montalvo","1","0:43","-130"
"UFC 220 - Miocic vs. Ngannou","WIN","ABDUL RAZAK ALHASSAN","SABAH HOMASI","KO (Punch)","Steve Rita","1","3:47","-250"
"UFC 218 - Holloway vs. Aldo 2","WIN","ABDUL RAZAK ALHASSAN","SABAH HOMASI","TKO (Punches)","Herb Dean","1","4:21",""
"UFC Fight Night 109 - Gustafsson vs. Teixeira","LOSS","ABDUL RAZAK ALHASSAN","OMARI AKHMEDOV","Decision (Split)","Bobby Rehman","3","5:00","-300"
"UFC Fight Night 99 - Mousasi vs. Hall 2","WIN","ABDUL RAZAK ALHASSAN","CHARLIE WARD","KO (Punch)","Marc Goddard","1","0:53","-330"
"LFC 61 - Legacy Fighting Championship 61","WIN","ABDUL RAZAK ALHASSAN","JOS EICHELBERGER","TKO (Punches)","Seth Fuller","1","0:57",""
"Rage in the Cage OKC 47 - Night of Champions","WIN","ABDUL RAZAK ALHASSAN","KEN JACKSON","TKO (Punches)","N/A","1","0:40",""
"Bellator 143 - Warren vs. Davis","WIN","ABDUL RAZAK ALHASSAN","BRYCE SHEPARD-MEJIA","KO (Punch)","Kerry Hatley","1","1:26","n/a"
"RXMMA - Rocks Xtreme MMA 12","WIN","ABDUL RAZAK ALHASSAN","MATT MCKEON","TKO (Punches)","Jay Stafin","1","0:47",""
"Bellator MMA - Bellator 111","WIN","ABDUL RAZAK ALHASSAN","MATT JONES","TKO (Punches)","Kerry Hatley","1","1:23",""
"XKO - Xtreme Knockout 20","WIN","ABDUL RAZAK ALHASSAN","KOLBY ADAMS","TKO (Punches)","Steve Armstrong","1","0:25",""
"UFC Fight Night 115 - Volkov vs. Struve","WIN","ABDUL-KERIM EDILOV","BOJAN MIHAJLOVIC","TKO (Punches)","Kevin Sataki","2","2:32","-670"
"WFCA 3 - Grozny Battle","WIN","ABDUL-KERIM EDILOV","LEONARDO GOSLING","TKO (Kicks)","Sergey Pelehovskiy","1","0:36",""
"WFCA 1 - Grozny Battle","WIN","ABDUL-KERIM EDILOV","TIAGO MONACO TOSATO","Submission (Rear-Naked Choke)","Nikolay Sharipov","1","2:28",""
"Fight Nights - Battle of Moscow 18","WIN","ABDUL-KERIM EDILOV","GILLIARD ALFREDO FAGUNDES","Submission (Rear-Naked Choke)","N/A","1","0:50",""
"ACB 10 - Coliseum Time","WIN","ABDUL-KERIM EDILOV","CRISTHIAN TORRES","Submission (Rear-Naked Choke)","N/A","1","1:42",""
"Absolute Championship Berkut - Grand Prix Berkut 9","WIN","ABDUL-KERIM EDILOV","FERNANDO ALMEIDA","TKO (Punches)","Ashot Ashughyan","1","2:17",""
"Fight Nights - Battle of Moscow 15","WIN","ABDUL-KERIM EDILOV","LAHAT FAYE","TKO (Punch and Soccer Kick)","N/A","1","N/A",""
"Fight Nights - Krepost Selection 3","WIN","ABDUL-KERIM EDILOV","PAVEL TRETYAKOV","TKO (Punches)","Vladimir Osiya","1","2:28",""
"Fight Nights - Battle on Terek","WIN","ABDUL-KERIM EDILOV","MICHAL GUTOWSKI","TKO (Punches)","N/A","1","0:37",""
"CWFC 58 - Cage Warriors Fighting Championship 58","WIN","ABDUL-KERIM EDILOV","RADJABOV SOHIB","Submission (Rear-Naked Choke)","Neil Hall","1","0:45",""
"Fight Nights - Battle of Moscow 12","WIN","ABDUL-KERIM EDILOV","JIRI PROCHAZKA","Submission (Rear-Naked Choke)","N/A","1","1:56",""
"Fight Nights - Battle of Moscow 11","LOSS","ABDUL-KERIM EDILOV","CHARLES ANDRADE","Submission (Guillotine Choke)","N/A","1","0:58",""
"Fight Nights - Battle of Moscow 9","WIN","ABDUL-KERIM EDILOV","NICHOLAS BABCHUK","Submission (Rear-Naked Choke)","Valentin Tarasov","1","1:14",""
"DFC - Dictator Fighting Championship 1","WIN","ABDUL-KERIM EDILOV","GADZHIMURAD ANTIGULOV","TKO (Punches)","N/A","1","2:28",""
"League S-70 - Russian Championship Third Round","LOSS","ABDUL-KERIM EDILOV","VIKTOR NEMKOV","Decision (Unanimous)","N/A","3","5:00",""
"ProFC - ProFC 22","WIN","ABDUL-KERIM EDILOV","ALEXANDER GREBENKIN","TKO (Punches)","N/A","1","2:40",""
"ProFC - Russia Cup Stage 1","WIN","ABDUL-KERIM EDILOV","MURAD KAMILOV","TKO (Punches)","N/A","1","1:30",""
"ProFC - Russia Cup Stage 1","WIN","ABDUL-KERIM EDILOV","DMITRY SURNEV","Submission (Triangle Choke)","N/A","1","2:36",""
"GFP - Golden Fist Russia","LOSS","ABDUL-KERIM EDILOV","ABDURAHMAN NURMAGOMEDOV","Technical Submission (Triangle Choke)","N/A","1","1:59",""
"M-1 Selection 2010 - Eastern Europe Round 2","WIN","ABDUL-KERIM EDILOV","IGOR SAVELYEV","Decision (Unanimous)","N/A","2","5:00",""
"PAC - Pancration Atrium Cup 2","LOSS","ABDUL-KERIM EDILOV","STANISLAV MOLODCOV","Submission (Rear-Naked Choke)","N/A","1","2:11",""
"UFC Fight Night 134 - Shogun vs. Smith","WIN","ABU AZAITAR","VITOR MIRANDA","Decision (Unanimous)","Kevin Sataki","3","5:00","-230"
"WSOF 33 - Branch vs. Magalhaes","WIN","ABU AZAITAR","MICHAEL ARRANT","Decision (Unanimous)","Marc Wasem","3","5:00","n/a"
"WSOF 30 - Branch vs. Starks","WIN","ABU AZAITAR","DANNY DAVIS JR.","Decision (Unanimous)","John McCarthy","3","5:00","-340"
"ACB 27 - Dushanbe","WIN","ABU AZAITAR","IBRAGIM TIBILOV","TKO (Punches)","Alexander Sidorin","1","1:53",""
"GMC 6 - German MMA Championship 6","WIN","ABU AZAITAR","RAFAL LEWON","Decision (Unanimous)","Wolf Menninger","5","5:00",""
"KSW 27 - Cage Time","DRAW","ABU AZAITAR","PIOTR STRUS","Draw (Majority)","Herb Dean","3","5:00","-300"
"CWFC - Fight Night 10","WIN","ABU AZAITAR","JACK MARSHMAN","TKO (Punches)","Marc Goddard","1","0:34",""
"KSW 25 - Khalidov vs. Sakurai","WIN","ABU AZAITAR","KRZYSZTOF KULAK","TKO (Punches)","Piotr Baginski","1","2:20","-315"
"GMC 4 - Next Level","WIN","ABU AZAITAR","MARCIN NARUSZCZKA","TKO (Punches)","Patrick Drees","2","2:15",""
"KK 8 - Kombat Komplett","WIN","ABU AZAITAR","ROMAN KAPRANOV","TKO (Punches)","Anthony Harris","1","4:30",""
"RFC - Respect Fighting Championship 8","LOSS","ABU AZAITAR","MARCIN NARUSZCZKA","TKO (Doctor Stoppage)","N/A","1","5:00",""
"RFC - Respect Fighting Championship 7","WIN","ABU AZAITAR","MARTIN ZAWADA","Decision (Unanimous)","N/A","3","5:00",""
"SFC 8 - Tournament 2012 Part I","WIN","ABU AZAITAR","NILS WERNERSBACH","TKO (Punches)","Kurt Braun","1","0:12",""
"SFC 7 - M-1 Fighter Europe","WIN","ABU AZAITAR","ANDREI EMBOLAEV","Decision (Unanimous)","N/A","2","5:00",""
"SFC 6 - Germany vs. Georgia","WIN","ABU AZAITAR","DIMITRI DZHUMBURIDZE","TKO (Punches)","Kurt Braun","1","0:18",""
"TFS - Mix Fight Gala Open Air","WIN","ABU AZAITAR","SADNIN KATICA","Submission (Rear-Naked Choke)","N/A","1","0:00",""
"K1M - K1 Maximum","NC","ABU AZAITAR","VOLKER DIETZ","NC (Overturned by Promoter)","N/A","1","1:15",""
"UFC on Fox 31 - Iaquinta vs. Lee 2","LOSS","ADAM MILSTEAD","MIKE RODRIGUEZ","TKO (Knee to the Body and Punches)","Rob Hinds","1","2:59","-143"
"UFC 222 - Cyborg vs. Kunitskaya","LOSS","ADAM MILSTEAD","JORDAN JOHNSON","Decision (Split)","Mark Smith","3","5:00","+175"
"UFC Fight Night 104 - Bermudez vs. Korean Zombie","NC","ADAM MILSTEAD","CURTIS BLAYDES","No Contest (Overturned)","Kerry Hatley","2","0:59","+230"
"UFC Fight Night 88 - Almeida vs. Garbrandt","WIN","ADAM MILSTEAD","CHRIS DE LA ROCHA","TKO (Punches)","Chris Tognoni","2","4:01","-300"
"KOTC - Hands of Steel","WIN","ADAM MILSTEAD","ROBERT MORROW","TKO (Punches)","Bill Bookwalter","1","1:55",""
"GOTC MMA - Gladiators of the Cage 18","WIN","ADAM MILSTEAD","LEWIS RUMSEY","TKO (Punches)","Chip Snider","1","1:10",""
"Pinnacle FC - Pittsburgh Challenge Series 8","WIN","ADAM MILSTEAD","NICK SMILEY","TKO (Punches)","Chip Snider","1","0:58",""
"Gladiators of the Cage - The North Shore's Rise to Power","WIN","ADAM MILSTEAD","TEX TRISMEGISTUS","Submission (Armbar)","Chip Snider","2","4:10",""
"Pinnacle FC - Pittsburgh Challenge Series 1","WIN","ADAM MILSTEAD","BOBBY GURLEY","TKO (Punches)","Chip Snider","1","3:49",""
"NAAFS - Midwest Combat Challenge 22","WIN","ADAM MILSTEAD","DEANDRE BILLINGSLEY","Submission (Guillotine Choke)","N/A","1","1:20",""
"NAAFS - Caged Fury 17","WIN","ADAM MILSTEAD","NATHAN BRYANT","KO (Punches)","Robert Riley","2","3:14",""
"NAAFS - Spohn vs. Hawk 2","LOSS","ADAM MILSTEAD","DANE BONNIGSON","TKO (Punches)","N/A","1","2:51",""
"Ohio Xtreme Fighting 15 - Cross Roads","WIN","ADAM MILSTEAD","ALLEN  ADDINGTON","Submission (Armbar)","N/A","1","1:47",""
"UFC 230 - Cormier vs. Lewis","LOSS","ADAM WIECZOREK","MARCOS ROGERIO DE LIMA","Decision (Unanimous)","Dan Miragliotta","3","5:00","-250"
"UFC on Fox 29 - Poirier vs. Gaethje","WIN","ADAM WIECZOREK","ARJAN SINGH BHULLAR","Submission (Omoplata)","Al Guinee","2","1:59","+245"
"UFC Fight Night 121 - Werdum vs. Tybura","WIN","ADAM WIECZOREK","ANTHONY HAMILTON","Decision (Unanimous)","Leon Roberts","3","5:00","-190"
"Spartan Fight 5 - Browarski vs. Conti","WIN","ADAM WIECZOREK","ERNESTO PAPA","Submission (Rear-Naked Choke)","Grzegorz Skibniewski","0","N/A",""
"PLMMA 67 - Nastula Cup 1","WIN","ADAM WIECZOREK","ZOUMANA CISSE","TKO (Punches)","Piotr Michalak","1","5:06",""
"PLMMA 61 / AFC 5 - Bytom","WIN","ADAM WIECZOREK","KEVIN WIWATOWSKI","Submission (Armbar)","Marian Ziolkowski","3","3:25",""
"PLMMA 56 - Bielsko-Biala","WIN","ADAM WIECZOREK","FILIP TOE","TKO (Punches)","Piotr Michalak","1","3:54",""
"PLMMA 51 - Kalisz","WIN","ADAM WIECZOREK","BARTOSZ JABLONSKI","Submission (Armbar)","Piotr Michalak","1","1:48",""
"FA 10 - Fighters Arena 10","WIN","ADAM WIECZOREK","ANDRZEJ DEBERNY","Submission (Armbar)","Piotr Michalak","1","1:40",""
"MMAC - MMA Challengers 9","WIN","ADAM WIECZOREK","RYSZARD RASZKIEWICZ","TKO (Punches)","Krzysztof Kulak","2","3:53",""
"PMMAF - Polish MMA Championships Finals","LOSS","ADAM WIECZOREK","MARCIN TYBURA","Decision (Unanimous)","N/A","2","5:00",""
"PMMAF - Polish MMA Championships Finals","WIN","ADAM WIECZOREK","ADAM BIZON","Submission (Armbar)","N/A","1","2:23",""
"UFC Fight Night 136 - Hunt vs. Oleynik","LOSS","ADAM YANDIEV","JORDAN JOHNSON","Submission (Arm-Triangle Choke)","Marc Goddard","2","0:42","+185"
"M-1 Challenge 62 - Buchinger vs. Barnaoui","WIN","ADAM YANDIEV","DMITRY VOITOV","Submission (Neck Crank)","Lukasz Bosacki","1","4:34",""
"M-1 Challenge 58 - Battle in the Mountains 4","WIN","ADAM YANDIEV","VALDAS POCEVICIUS","Submission (Rear-Naked Choke)","Marco Broersen","1","1:35",""
"OFS - Octagon Fighting Sensation 4","WIN","ADAM YANDIEV","DONALD NJATAH NYA","Submission (Rear-Naked Choke)","Ashot Ashugyan","1","2:39",""
"M-1 Challenge 57 - Battle in the Heart of the Continent","WIN","ADAM YANDIEV","DMITRIY ADEEV","Submission (Guillotine Choke)","Marco Broersen","1","1:04",""
"ProFC 57 - New Era","WIN","ADAM YANDIEV","KONSTANTIN SKRELYA","TKO (Punches)","N/A","1","1:01",""
"OFS - Octagon Fighting Sensation 3","WIN","ADAM YANDIEV","VLADIMIR BRIK","Submission (North-South Choke)","Vyacheslav Kiselev","1","2:08",""
"Fight Star - Battle on Sura 3","WIN","ADAM YANDIEV","ARTIOM SIDORENKO","TKO (Punches)","N/A","1","0:17",""
"RFP - Ascending Star 1","WIN","ADAM YANDIEV","EVGENIY TEREKHOV","TKO (Punches)","Oleg Saievych","1","1:22",""
"Fight Nights - Battle of Moscow 18","WIN","ADAM YANDIEV","VALERI SHPAK","Submission (Neck Crank)","N/A","1","2:19",""
"League S-70 - Plotforma 7th","WIN","ADLAN AMAGOV","DIRLEI BROENSTRUP","Submission (Armbar)","N/A","1","2:18",""
"UFC 166 - Velasquez vs. Dos Santos 3","WIN","ADLAN AMAGOV","T.J. WALDBURGER","KO (Punches)","Jay Stafin","1","3:00","-238"
"UFC on Fuel TV 9 - Mousasi vs. Latifi","WIN","ADLAN AMAGOV","CHRIS SPANG","Decision (Unanimous)","Leon Roberts","3","5:00","-200"
"Strikeforce - Rousey vs. Kaufman","WIN","ADLAN AMAGOV","KEITH BERRY","TKO (Leg Kick and Punches)","Herb Dean","1","0:48","+108"
